Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean 
800,3769,88.4,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:05:06.166580,7:25:34.425928,-14.0,-15.18833696336911
800,3770,87.0,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:05:19.416574,7:25:47.675922,-13.0,-15.16645359373542
800,3771,88.3,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:05:32.072828,7:26:00.332176,-15.0,-15.164789057798066
800,3772,86.5,10.5,2022-08-10 03:39:31.740652,2022-08-10 11:05:45.182202,7:26:13.441550,-15.0,-15.163141167220084
800,3773,87.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:05:56.432203,7:26:24.691551,-17.0,-15.181509755547884
800,3774,86.0,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:06:06.557203,7:26:34.816551,-19.0,-15.219694657992404
800,3775,87.8,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:06:18.619704,7:26:46.879052,-17.0,-15.23749771141248
800,3776,85.8,10.4,2022-08-10 03:39:31.740652,2022-08-10 11:06:30.369702,7:26:58.629050,-13.0,-15.215122734298356
800,3777,85.8,11.6,2022-08-10 03:39:31.740652,2022-08-10 11:06:43.775953,7:27:12.035301,-8.0,-15.142971506955373
800,3778,88.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:06:54.697831,7:27:22.957179,-15.0,-15.14154179188582
800,3779,86.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:07:04.713455,7:27:32.972803,-16.0,-15.15012637396696
800,3780,86.9,10.1,2022-08-10 03:39:31.740652,2022-08-10 11:07:13.463451,7:27:41.722799,-20.0,-15.19862511022729
800,3781,86.5,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:07:23.385326,7:27:51.644674,-16.0,-15.206638859125018
800,3782,87.1,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:07:33.150950,7:28:01.410298,-16.0,-15.214572470533769
800,3783,87.8,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:07:42.510329,7:28:10.769677,-14.0,-15.202426745828431
800,3784,88.3,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:07:52.088458,7:28:20.347806,-15.0,-15.200402478370147
