Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean 
200,1512,68.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:52.872607,0:40:49.874900,-19.95189072371652
200,1513,67.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:55.060110,0:40:52.062403,-19.962371816479354
200,1514,70.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:56.716361,0:40:53.718654,-19.96274809831456
200,1515,66.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:58.560112,0:40:55.562405,-19.953120617331415
200,1516,70.5,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:05:00.200734,0:40:57.203027,-19.9535894111581
200,1517,65.8,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:05:02.075731,0:40:59.078024,-19.94405351704652
200,1518,70.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:03.856982,0:41:00.859275,-19.934612981876054
200,1519,67.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:05.575731,0:41:02.578024,-19.915266852057293
200,1520,65.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:07.341356,0:41:04.343649,-19.91611418353672
200,1521,66.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:09.106978,0:41:06.109271,-19.926953041701353
200,1522,67.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:05:11.075734,0:41:08.078027,-19.89768351128434
200,1523,68.7,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:12.497611,0:41:09.499904,-19.898706676171496
200,1524,66.6,9.2,2022-08-10 15:24:02.997707,2022-08-10 16:05:14.763235,0:41:11.765528,-19.87971960940978
200,1525,67.9,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:16.294481,0:41:13.296774,-19.890922413315682
200,1526,70.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:17.872608,0:41:14.874901,-19.882013189182526
200,1527,68.1,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:19.341354,0:41:16.343647,-19.8831930572907
200,1528,68.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:20.903857,0:41:17.906150,-19.884361126717792
200,1529,67.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:22.622609,0:41:19.624902,-19.885517515450612
200,1530,67.6,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:23.997607,0:41:20.999900,-19.896662340296107
200,1531,65.1,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:25.185110,0:41:22.187403,-19.897695716893146
200,1532,65.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:26.888235,0:41:23.890528,-19.898718759724215
200,1533,66.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:28.575733,0:41:25.578026,-19.89973157212697
200,1534,65.9,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:05:30.247608,0:41:27.249901,-19.910734256405703
200,1535,66.3,9.3,2022-08-10 15:24:02.997707,2022-08-10 16:05:31.591359,0:41:28.593652,-19.921626913841646
200,1536,73.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:33.481978,0:41:30.484271,-19.922410644703227
200,1537,71.2,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:05:35.638233,0:41:32.640526,-19.933186538256194
200,1538,68.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:37.372612,0:41:34.374905,-19.913854672873633
200,1539,68.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:38.966360,0:41:35.968653,-19.924716126144897
200,1540,68.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:40.560102,0:41:37.562395,-19.925468964883446
200,1541,63.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:42.185111,0:41:39.187404,-19.92621427523461
200,1542,69.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:43.841360,0:41:40.843653,-19.926952132482263
200,1543,67.9,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:05:45.372608,0:41:42.374901,-19.917682611157442
200,1544,67.9,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:46.810109,0:41:43.812402,-19.928505785045868
